column_name,data_type,description
id,BIGINT,Row ID
psu_no,DOUBLE,PSU NUMBER
pid,DOUBLE,Personal ID
ur,DOUBLE,Urban and Rural
phase,DOUBLE,Data collection round
province,DOUBLE,Province
district,DOUBLE,"District: Numeric code (11-57) representing the respondent's district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
weight,DOUBLE,Round_weight
weight2,DOUBLE,Annual_weight
samehh,DOUBLE,The same Household Visited last time?
hhrg,DOUBLE,Rotation Group
ryear,DOUBLE,Year
a01,DOUBLE,Sex
a02,DOUBLE,Relationship
a03m,DOUBLE,Date of birth Month
a03y,DOUBLE,date of birth year
a04,DOUBLE,Age at last birthday
a05,DOUBLE,Present marital status
a06,DOUBLE,Do you have difficulty seeing even if wearing glasses?
a07,DOUBLE,Do you have difficulty hearing even if using a hearing aid?
a08,DOUBLE,Do you have difficulty walking or climbing steps?
a09,DOUBLE,Do you have difficulty remembering or concentrating?
a10,DOUBLE,Do you have difficulty washing all over or dressing?
a11,DOUBLE,Using your usual language do you have difficulty communicating for example understanding or being understood
a12,DOUBLE,What is nationality?
a13,DOUBLE,Residential Status in Rwanda
a14a,DOUBLE,Country/Area of birth
a14b,DOUBLE,"District of birth: Numeric code (11-57) representing the respondent's district of birth in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
a18,DOUBLE,Kind of place he/she lived in prior to arriving here?
a19,DOUBLE,How long did he/she live in the previous location prior to arriving here?
a20,DOUBLE,Reason to move away from previous location
a21,DOUBLE,Has he/she been away from home in this last 12 months?
a22,DOUBLE,Months during the past 12 months has he/she been away from this HH
a23,DOUBLE,While absent is/was he/she a member of another household?
a24,DOUBLE,Is he/she household member?
a25,DOUBLE,Is currently studying or working?
a26,DOUBLE,What type of work does do?
a27,DOUBLE,How many days per week did [NAME] usually work in these activities?
a28,DOUBLE,How many hours per day did [NAME] usually work in these activities?
