column_name,data_type,description
id,BIGINT,Row ID
psu_no,BIGINT,Primary Sampling Unit
qh_no,BIGINT,Questionnaire Number
hhid,BIGINT,Household Identification
pid,BIGINT,Personal ID
province,BIGINT,Province
code_ur,BIGINT,Urban-Rural
code_dis,BIGINT,"District: Numeric code (11-57) representing the respondent's district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
lfs_year,BIGINT,LFS data collection year
weight2,DOUBLE,Annual Weight
a01,BIGINT,Sex
a02,BIGINT,Relationship
a03m,BIGINT,Date of birth month
a03y,BIGINT,Date of birth year
a04,BIGINT,Age at last birthday
a05,DOUBLE,Present marital status
a06,DOUBLE,"Do you have difficulty seeing, even if wearing glasses?"
a07,DOUBLE,"Do you have difficulty hearing, even if using a hearing aid?"
a08,DOUBLE,Do you have difficulty walking or climbing steps?
a09,DOUBLE,Do you have difficulty remembering or concentrating?
a10,DOUBLE,Do you have difficulty (with self-care such as) washing all over or dressing?
a11,DOUBLE,"Using your usual language, do you have difficulty communicating, for example understanding or being understood?"
a12,BIGINT,What is nationality?
a13,BIGINT,Residential Status in Rwanda
a14a,BIGINT,Country/Area of birth
a14b,DOUBLE,"District of birth: Numeric code (11-57) representing the respondent's district of birth in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
a15,BIGINT,Have you lived outside this district for at least 6 consecutive months?
a16y,DOUBLE,The period of usual place of residence (last move) - Years
