column_name,data_type,description
id,BIGINT,Row ID
province,DOUBLE,Province
code_dis,DOUBLE,"District: Numeric code (11-57) representing the respondent's district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
weight,DOUBLE,Annual Weight
pkey,DOUBLE,Identifier
a01,DOUBLE,Sex
a02,DOUBLE,Relationship
a04,DOUBLE,Age at last birthday
a05,DOUBLE,Present marital status
a06,DOUBLE,"Do you have difficulty seeing, even if wearing glasses?"
a07,DOUBLE,"Do you have difficulty hearing, even if using a hearing aid?"
a08,DOUBLE,Do you have difficulty walking or climbing steps?
a09,DOUBLE,Do you have difficulty remembering or concentrating?
a10,DOUBLE,Do you have difficulty (with self-care such as) washing all over or dressing?
a11,DOUBLE,"Using your usual language, do you have difficulty communicating, for example understanding or being understood?"
a12,DOUBLE,What is nationality?
a13,DOUBLE,Residential Status in Rwanda
a14a,DOUBLE,Country/Area of birth
a14b,DOUBLE,"District of birth: Numeric code (11-57) representing the respondent's district of birth in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
a15,DOUBLE,Has usual place of residence always been in this district?
a16y,DOUBLE,The period of usual place of residence (last move) - Years
a17a,DOUBLE,"In what district or foreign country did you live? For district, numeric code (11�57) representing the respondent's previous district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
a17b,DOUBLE,"District code: Numeric code (11-57) representing the respondent's district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
a18,DOUBLE,Kind of place you lived in prior to arriving here?
a19,DOUBLE,How long did you live in the previous location prior to arriving here?
a20,DOUBLE,Reason to move away from previous location
a21,DOUBLE,Have you been away from home in this last 12 months?
a22,DOUBLE,Months during the past 12 months you have been away from this HH
a23,DOUBLE,"While absent, are/were you a member of another household?"
a24,DOUBLE,Are you a household member?
a25,DOUBLE,Are you currently studying or working?
a26,DOUBLE,What type of work do you do?
a27,DOUBLE,How many days per week did you usually work in these activities?
a28,DOUBLE,How many hours per day did you usually work in these activities?
a29,DOUBLE,"In the last 7 days, how many hours did you spend collecting firewood for the household?"
a30,DOUBLE,"In the last 7 days, how many hours did you spend fetching water for the household?"
a31,DOUBLE,"In the last 7 days, how many hours did you spend searching for fodder or grazing"
a32,DOUBLE,"In the last 7 days, how many hours did you spend constructing your dwelling"
a33,DOUBLE,"In the last 7 days, how many hours did you spend doing household chores"
a34,DOUBLE,"In the last 7 days, how many hours did you spend looking after children and elderly"
b01,DOUBLE,Are you currently studying?
b02a,DOUBLE,What is the highest educational level are/have you attending/attended?
b02b,DOUBLE,How many years have you completed in that level of education?
b03,DOUBLE,Highest certificate obtained
b04,DOUBLE,The place of the highest qualification attained
b05a,TEXT,Area of specialization
b05b,DOUBLE,ESCED code
b05c,TEXT,ESCED name
b06,DOUBLE,Ability to read and write
b07,DOUBLE,Currently attending any trade or technical skills school
b08,DOUBLE,Did you learn any Trade or Technical vocational course (TVET)?
b09,DOUBLE,How long will/did this training take?
b10,DOUBLE,Type of technical skills learned?
b11,DOUBLE,Where did you acquire these skills
b12,DOUBLE,Who was the main sponsor for this course?
b13,DOUBLE,Did you complete the course?
b13a,DOUBLE,In which year did you complete this course?
b14,DOUBLE,What happened after you completed the course?
b15,DOUBLE,At what level could you use of computer?
b16a,DOUBLE,At what level could you speak English
b16b,DOUBLE,At what level could you speak French
b16c,DOUBLE,At what level could you speak Swahili
c01,DOUBLE,"During the last 7 days, did you do any work for wage, salary, commission, tips"
c02,DOUBLE,"During the past 7 days, did you run or do any kind of business, farming"
c03,DOUBLE,"During the past 7 days, did you help unpaid in a business owned by a household member?"
c04,DOUBLE,"Was this work in agriculture, farming or fishing?"
c05,DOUBLE,"In general, are the products obtained from this activity for sale or for family use?"
c06,DOUBLE,"During the last 7 days, did you have a paid job or a business from which you were absent"
c07,DOUBLE,What was the main reason you were absent from work during the last 7 days?
c08,DOUBLE,What is the expected total absence from work for you?
c09a,DOUBLE,"Among the following categories, which correspond to your situation"
c09,DOUBLE,Do you continue receiving an income from your job during absence?
c10,DOUBLE,Did you have any other paid job or business or performed any secondary activity
c11a,DOUBLE,How many hours do you usually work per week? Main job/activity
c11b,DOUBLE,How many hours do you usually work per week? Secondary job/activity
c12a,DOUBLE,"During the past 7 days, how many days did you actually work? Main job/activity"
c12b,DOUBLE,"During the past 7 days, how many days did you actually work? Secondary job/activity"
c13a,DOUBLE,"During the past 7 days, how many hours per day did you actually work? Main job/activity"
c13b,DOUBLE,"During the past 7 days, how many hours per day did you actually work? Secondary job/activity"
c14,DOUBLE,How many hours did you usually work at all jobs combined during the last 7 days?
c15,DOUBLE,What was the main reason you usually worked long hours per week?
c16,DOUBLE,"During the last 4 weeks, did you look for additional or other work?"
c17,DOUBLE,Would want to work more hours per week than usualy worked provided the extra hours
c18,DOUBLE,"If an opportunity for additional work became available, could you start working"
c19,DOUBLE,"During the last 4 weeks, did you look for any kind of paid job or try to start"
c20,DOUBLE,Have you already found a job or arranged to start a business in the next 4 weeks
c21,TEXT,What did you do in the last 4 weeks to find a paid job or start a business?
c21a,DOUBLE,"Arranging for financial ressources, applying for permits, licences"
c21b,DOUBLE,"Looking for land, premises, machinery, supplies, farming inputs"
c21c,DOUBLE,"Seeking the assistance of friends, relatives or other types of intermediaries"
c21d,DOUBLE,Registering with or contacting public or private employment services
c21e,DOUBLE,"Applying to employers directly, checking at worksites, farms, factory gates, markets"
c21f,DOUBLE,Placing or answering newspaper or online job advertisements
c21g,DOUBLE,Placing and updating resumes on professional or social networking sites online
c21h,DOUBLE,No method
c22,DOUBLE,For how long have you been without work and trying to find a paid job or start
c23,DOUBLE,Would you want to work if a paid job or business opportunity became available
c24,DOUBLE,What was the main reason you did not try to find a paid job or start a business
c25,DOUBLE,"If a paid job or business opportunity become available, could you have started"
c26,DOUBLE,What is the mean reason why you could not start working in the last 7 days
d01b2,DOUBLE,Main tasks and duties (ISCO CODE)
d02,DOUBLE,What do you think could be the minimum level of education to carry out the job
d03a,DOUBLE,What is the name of your workplace?
d03a1,TEXT,Workplace name
d03b,TEXT,What are the main goods or services produced at your place of work or its main
d03b1,DOUBLE,Main goods and services (ISIC code)
d04,DOUBLE,Do you work in...
d05,DOUBLE,"In this job, are you working as..."
d06,DOUBLE,Have you been employed on the basis of:
d07,DOUBLE,Is your contract or agreement:
d08,DOUBLE,The duration of the contract or agreement?
d09a,DOUBLE,Does employer pay contributions on your behalf to social security fund
d09b,DOUBLE,Does employer pay contributions on your behalf to health insurance fund
d10a,DOUBLE,Benefits paid for annual leave
d10b,DOUBLE,Benefits paid for sick leave
d10c,DOUBLE,Benefits paid for maternity/paternity leave
d10d,DOUBLE,Is your salary subjected to deduction of tax (PAYE)
d11,DOUBLE,Do you belong to any trade union or syndicate
d20,DOUBLE,Is the business/establishment where you work registered with the RRA or pay
d21,DOUBLE,"In order to report to an authority, does the business/establishment where you"
d22a,DOUBLE,"How many regular paid or unpaid employees including you, work at your place"
d22b,DOUBLE,"How many regular paid or unpaid employees including you, work at your place"
d23,DOUBLE,In what type of place do you usually work?
d24a,DOUBLE,How long have you been working (total experience) - Years?
d24,DOUBLE,How long have you been working (total experience)?
d25,DOUBLE,In day to day work do you need the computer to perform your duties?
d26,DOUBLE,Do you use computer in your day to day work?
d27,DOUBLE,Is a secondary paid job or business/activity reported
e01b1,DOUBLE,Main tasks and duties (ISCO CODE)
e02b1,DOUBLE,Main goods or services (ISIC CODE)
e03,DOUBLE,"In your secondary job/activity, do you work in..."
e04,DOUBLE,"In your secondary job/business, do you work as..."
e05a,DOUBLE,Does the employer pay contributions on your behalf to social security fund?
e05b,DOUBLE,Does the employer pay contributions on your behalf to health insurance?
e06a,DOUBLE,Are you paid annual leave
e06b,DOUBLE,Are you paid sick leave
e06c,DOUBLE,Are you paid maternity/paternity leave?
e07,DOUBLE,Is the business/establishment where you work registered with the RRA or
e08,DOUBLE,Does your employer keep any written records or accounts?
e09a,DOUBLE,"Including you, how many regular paid or unpaid employees (less than 10)"
e09b,DOUBLE,"Including you, how many regular paid or unpaid employees (more than 10)"
e10,DOUBLE,In what type of place do you usually work?
e11,DOUBLE,Apart from the main job: how many jobs did you have in the last 7 days?
