year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m
2010,annual,ICT,Software Development,Software Developer / Software Engineer,Software developers / applications programmers,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,100.0,22.827,1284.0,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,100.0,100.0,,No sub-annual data available
2010,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.81,0.412,23.2,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.59,1.46,,No sub-annual data available
2010,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.65,0.377,21.2,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.44,1.31,,No sub-annual data available
2010,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.41,0.322,18.1,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.22,1.11,,No sub-annual data available
2010,annual,ICT,Software Development,Mobile App Developer,Applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.07,0.243,13.7,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.91,0.84,,No sub-annual data available
2010,annual,ICT,Systems Analysis,Systems Analyst / IT Business Analyst,Systems analysts,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,46.43,10.599,596.2,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,44.49,44.87,,No sub-annual data available
2010,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.11,0.252,14.2,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.95,0.9,,No sub-annual data available
2010,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.58,0.132,7.4,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.51,0.48,,No sub-annual data available
2010,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.38,0.088,4.9,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.34,0.33,,No sub-annual data available
2010,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,36.51,8.335,468.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,36.51,37.56,,No sub-annual data available
2010,annual,ICT,Networks,Network Engineer / Network Administrator,Computer network professionals,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,47.17,10.766,605.6,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,47.4,48.27,,No sub-annual data available
2010,annual,ICT,Systems & Infrastructure,Systems Administrator,Systems administrators,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,43.5,9.931,558.6,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,43.63,43.87,,No sub-annual data available
2010,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,60.58,13.827,777.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,60.24,59.85,,No sub-annual data available
2010,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,54.14,12.357,695.1,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,53.17,52.43,,No sub-annual data available
2010,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.27,0.062,3.5,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.23,0.21,,No sub-annual data available
2010,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.21,0.048,2.7,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.18,0.16,,No sub-annual data available
2010,annual,ICT,Software Quality,QA / Software Test Engineer,Software and applications developers/analysts n.e.c. (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.37,0.084,4.7,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.31,0.29,,No sub-annual data available
2010,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,23.04,5.258,295.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,22.14,22.5,,No sub-annual data available
2010,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.18,0.041,2.3,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.15,0.14,,No sub-annual data available
