column_name,data_type,description
id,INT,Row ID
PSU_NO,SMALLINT,Primary Sampling Unit
QH_NO,SMALLINT,Questionnaire Number
HHID,INT,Household Identification
pid,INT,Personal ID
province,SMALLINT,"Numeric code (1–5) representing the administrative province of Rwanda where the survey respondent is located. 1 = Kigali City, 2 = Southern Province, 3 = Western Province, 4 = Northern Province, 5 = Eastern Province."
Code_UR,SMALLINT,"Numeric code (1–2) indicating the residential area type of the respondent. 1 = Urban, 2 = Rural."
code_dis,SMALLINT,"Numeric code (11–57) representing the respondent's district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
lfs_strata,SMALLINT,"Numeric code (111–572) representing the survey stratification unit for the Labour Force Survey. The code encodes geography hierarchically: the first digit indicates the province (1-5), the second digit identifies the district, and the third digit distinguishes urban/rural sub-strata where applicable (0 = no split, 1 = urban, 2 = rural). 111 = Nyarugenge, 121 = Gasabo, 131 = Kicukiro, 210 = Nyanza, 220 = Gisagara, 230 = Nyaruguru, 240 = Huye, 250 = Nyamagabe, 260 = Ruhango, 270 = Muhanga, 281 = Kamonyi_urban, 282 = Kamonyi_rural, 310 = Karongi, 320 = Rutsiro, 331 = Rubavu_urban, 332 = Rubavu_rural, 340 = Nyabihu, 350 = Ngororero, 361 = Rusizi_urban, 362 = Rusizi_rural, 370 = Nyamasheke, 410 = Rulindo, 420 = Gakenke, 431 = Musanze_urban, 432 = Musanze_rural, 440 = Burera, 450 = Gicumbi, 511 = Rwamagana_urban, 512 = Rwamagana_rural, 520 = Nyagatare, 530 = Gatsibo, 540 = Kayonza, 550 = Kirehe, 560 = Ngoma, 571 = Bugesera_urban, 572 = Bugesera_rural."
LFS_year,SMALLINT,LFS Data Collection Year
weight2,DOUBLE,Annual Weight
A01,SMALLINT,"Numeric code (1–2) indicating the sex of the respondent. 1 = Male, 2 = Female."
A02,SMALLINT,"Numeric code (1–14) indicating the respondent's relationship to the household head. 1 = Household Head, 2 = Spouse (Wife/Husband), 3 = Child (Son/Daughter), 4 = Adopted/Foster/Step child, 5 = Parent (Father/Mother), 6 = Parent-in-law, 7 = Brother or Sister-in-law, 8 = Brother or Sister, 9 = Grandchild, 10 = Son/Daughter-in-law, 11 = Other relative, 12 = Domestic worker, 13 = Non-relative, 14 = Unknown relationship."
A03M,SMALLINT,"Numeric code (1–12) representing the respondent's month of birth. 1 = January, 2 = February, 3 = March, 4 = April, 5 = May, 6 = June, 7 = July, 8 = August, 9 = September, 10 = October, 11 = November, 12 = December, 98 = Don't Know."
A03Y,SMALLINT,Date of Birth: Year
A04,SMALLINT,Age at Last Birthday
A05,DOUBLE,"Numeric code (1–7) indicating the respondent's present marital status. 1 = Married monogamously, 2 = Married polygamous, 3 = Living together, 4 = Divorced, 5 = Separated, 6 = Single, 7 = Widow/Widower."
A06,DOUBLE,"Numeric code (1–4) indicating the respondent's level of difficulty seeing, even if wearing glasses. 1 = No difficulty, 2 = Yes, some difficulty, 3 = Yes, a lot of difficulty, 4 = Cannot do at all."
A07,DOUBLE,"Numeric code (1–4) indicating the respondent's level of difficulty hearing, even if using a hearing aid. 1 = No difficulty, 2 = Yes, some difficulty, 3 = Yes, a lot of difficulty, 4 = Cannot do at all."
A08,DOUBLE,"Numeric code (1–4) indicating the respondent's level of difficulty walking or climbing steps. 1 = No difficulty, 2 = Yes, some difficulty, 3 = Yes, a lot of difficulty, 4 = Cannot do at all."
A09,DOUBLE,"Numeric code (1–4) indicating the respondent's level of difficulty remembering or concentrating. 1 = No difficulty, 2 = Yes, some difficulty, 3 = Yes, a lot of difficulty, 4 = Cannot do at all."
A10,DOUBLE,"Numeric code (1–4) indicating the respondent's level of difficulty with self-care, such as washing all over or dressing. 1 = No difficulty, 2 = Yes, some difficulty, 3 = Yes, a lot of difficulty, 4 = Cannot do at all."
A11,DOUBLE,"Using your usual language, do you have difficulty communicating, for example understanding or being understood?"
A12,SMALLINT,What is your nationality?
A13,SMALLINT,Residential Status in Rwanda
A14A,SMALLINT,Country/Area of Birth
A14B,DOUBLE,"District of birth: Numeric code (11-57) representing the respondent's district of birth in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
A15,SMALLINT,Has your usual place of residence always been in this district?
A16Y,DOUBLE,The period of usual place of residence (last move) - Years
A17A,DOUBLE,"In what district or foreign country did you live? For district, numeric code (11�57) representing the respondent's previous district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
A17B,DOUBLE,"District code (previous location): Numeric code (11�57) representing the respondent's previous district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
A19,DOUBLE,How long did you live in the previous location prior to arriving here?
A20,DOUBLE,Reason to move away from previous location
B01,DOUBLE,Are you currently studying?
B02A,DOUBLE,What is the highest educational level you are attending or have attended?
B02B,DOUBLE,How many years have you completed in that level of education?
B07,DOUBLE,Currently attending any trade or technical skills school?
B08,DOUBLE,Did you learn any Trade or Technical vocational course (TVET)?
B09,DOUBLE,How long will/did this training take?
B10,DOUBLE,Type of technical skills learned?
B13,DOUBLE,Did you complete the course?
B14,DOUBLE,What happened after you completed the course?
C01,DOUBLE,"During the last 7 days, did you do any work for wage, salary, commission, tips, or any other pay, in cash or in kind, even if only for one hour? (including paid interns)"
C02,DOUBLE,"During the past 7 days, did you run or do any kind of business, farming, or other activity to generate income, even if only for one hour?"
C03,DOUBLE,"During the past 7 days, did you help unpaid in a business owned by a household or family member, or help a member of household or family in his/her paid job, even if only for one hour?"
C05,DOUBLE,"In general, are the products obtained from this activity for sale or for family use?"
C06,DOUBLE,"During the last 7 days, did you have a paid job or a business from which you were temporarily absent and for which you expect to return?"
C07,DOUBLE,What was the main reason you were absent from work during the last 7 days?
C08,DOUBLE,What is the expected total absence from work for you?
C09,DOUBLE,Do you continue receiving an income from your job during absence?
C09A,DOUBLE,"Among the following categories, which correspond to your situation: • Entrepreneur in agriculture • Subsistence agriculture • Help without pay in agriculture"
C10,DOUBLE,"Did you have any other paid job or business or any secondary activity to generate an income, done for at least one hour during the last 7 days?"
C10A,DOUBLE,How many jobs other than main job do you posess?
C11A,DOUBLE,How many hours do you usually work per week? (Main job/activity)
C11B,DOUBLE,How many hours do you usually work per week? (Secondary job/activity)
C12A,DOUBLE,"During the past 7 days, how many days did you actually work? (Main job/activity)"
C12B,DOUBLE,"During the past 7 days, how many days did you actually work? (Secondary job/activity)"
C13A,DOUBLE,"During the past 7 days, how many hours per day did you actually work? (Main job/activity)"
C13B,DOUBLE,"During the past 7 days, how many hours per day did you actually work? (Secondary job/activity)"
C14,DOUBLE,How many hours did you usually work at all jobs combined during the last 7 days?
C15,DOUBLE,What was the main reason you usually worked long hours per week?
C16,DOUBLE,"During the last 4 weeks, did you look for additional or other work?"
C17,DOUBLE,Would you want to work more hours per week than usually worked provided the extra hours are paid or profitable?
C18,DOUBLE,"If an opportunity for additional work became available, could you start working more hours within the next two weeks?"
C19,DOUBLE,"During the last 4 weeks, did you look for any kind of paid job or try to start a business?"
C19A,DOUBLE,"During the last 4 weeks, did you try to start a business?"
C20,DOUBLE,Have you already found a job or arranged to start a business in the next 4 weeks?
C20A,DOUBLE,How soon do you expect to start working in this new job or business?
C21,VARCHAR,What did you do in the last 4 weeks to find a paid job or start a business?
C21A,DOUBLE,Apply to prospective employers
C21B,DOUBLE,Place or answer job advertisement
C21C,DOUBLE,Post/update resume on professional/social networking sites online
C21D,DOUBLE,Register with employment center (public/private)
C21E,DOUBLE,Take a test or interview
C21F,DOUBLE,"Seek help from relatives, friends, others"
C21G,DOUBLE,Check at factories website
