column_name,data_type,description
id,BIGINT,Row ID
psu_id,DOUBLE,Primary Sampling Unit
psu_no,BIGINT,Primary Sampling Unit Number
qh_no,BIGINT,Questionnaire Number
hhid,BIGINT,Household Identification
pid,BIGINT,Personal ID
code_dis,BIGINT,"District: Numeric code (11-57) representing the respondent's district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
hhrg,BIGINT,Rotation Group
hhgap,DOUBLE,Number of Group Appearance
hhgac,DOUBLE,Number of Group Acceptance
consent,BIGINT,Consent
decode,BIGINT,Data entry code
sihh,BIGINT,Still in the Household
a01,BIGINT,Sex
a02,BIGINT,Relationship
a04,BIGINT,Age at last birthday
a05,DOUBLE,Present marital status
more_person,BIGINT,More person
a12,BIGINT,What is nationality?
a13,BIGINT,Residential Status in Rwanda
a14a,BIGINT,Country/Area of birth
a14b,DOUBLE,"District of birth: Numeric code (11-57) representing the respondent's district of birth in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
a15,BIGINT,Since birth has lived in another district for 6 consecutive months?
a16y,DOUBLE,The period of usual place of residence (last move) - Years
